Date,Infectados,Rec,Suc,Total,Inm3,Inm2,Inm1
2021-01-01,4,0,30,34,0,0,0
2021-01-02,4,0,30,34,0,0,0
2021-01-03,3,0,31,34,0,0,0
2021-01-04,4,0,30,34,0,0,0
2021-01-05,4,0,30,34,0,0,0
2021-01-06,3,0,31,34,0,0,0
2021-01-07,2,0,32,34,0,0,0
2021-01-08,2,0,32,34,0,0,0
2021-01-09,2,0,32,34,0,0,0
2021-01-10,2,0,32,34,0,0,0
2021-01-11,3,0,31,34,0,0,0
2021-01-12,4,0,30,34,0,0,0
2021-01-13,3,0,31,34,0,0,0
2021-01-14,3,0,31,34,0,0,0
2021-01-15,3,0,31,34,0,0,0
2021-01-16,3,0,31,34,0,0,0
2021-01-17,3,0,31,34,0,0,0
2021-01-18,3,0,31,34,0,0,0
2021-01-19,3,0,31,34,0,0,0
2021-01-20,2,0,32,34,0,0,0
2021-01-21,2,0,32,34,0,0,0
2021-01-22,1,0,33,34,0,0,0
2021-01-23,1,0,33,34,0,0,0
2021-01-24,1,0,33,34,0,0,0
2021-01-25,1,0,33,34,0,0,0
2021-01-26,1,0,33,34,0,0,0
2021-01-27,1,0,33,34,0,0,0
2021-01-28,1,0,33,34,0,0,0
2021-01-29,1,0,33,34,0,0,0
2021-01-30,1,0,33,34,0,0,0
2021-01-31,1,0,33,34,0,0,0
2021-02-01,1,0,33,34,0,0,0
2021-02-02,1,0,33,34,0,0,0
2021-02-03,1,0,33,34,0,0,0
2021-02-16,0,1,33,34,1,0,0
2021-02-17,0,2,32,34,1,1,0
2021-02-18,0,2,32,34,0,1,1
2021-02-19,0,1,33,34,0,0,1
2021-02-23,1,0,33,34,0,0,0
2021-02-24,1,0,33,34,0,0,0
2021-02-25,1,0,33,34,0,0,0
2021-02-26,1,0,33,34,0,0,0
2021-02-27,1,0,33,34,0,0,0
2021-02-28,1,0,33,34,0,0,0
2021-03-01,1,0,33,34,0,0,0
2021-03-02,1,0,33,34,0,0,0
2021-03-03,1,0,33,34,0,0,0
2021-03-04,1,1,32,34,1,0,0
2021-03-05,1,1,32,34,0,1,0
2021-03-06,1,1,32,34,0,0,1
2021-03-07,2,0,32,34,0,0,0
2021-03-08,2,0,32,34,0,0,0
2021-03-09,2,0,32,34,0,0,0
2021-03-10,2,0,32,34,0,0,0
2021-03-11,2,0,32,34,0,0,0
2021-03-12,2,1,31,34,1,0,0
2021-03-13,2,1,31,34,0,1,0
2021-03-14,2,1,31,34,0,0,1
2021-03-15,2,0,32,34,0,0,0
2021-03-16,2,0,32,34,0,0,0
2021-03-17,2,0,32,34,0,0,0
2021-03-18,2,0,32,34,0,0,0
2021-03-19,2,0,32,34,0,0,0
2021-03-20,2,0,32,34,0,0,0
2021-03-21,2,0,32,34,0,0,0
2021-03-22,2,1,31,34,1,0,0
2021-03-23,2,1,31,34,0,1,0
2021-03-24,2,1,31,34,0,0,1
2021-03-25,3,0,31,34,0,0,0
2021-03-26,2,0,32,34,0,0,0
2021-03-27,2,0,32,34,0,0,0
2021-03-28,2,0,32,34,0,0,0
2021-03-29,2,0,32,34,0,0,0
2021-03-30,2,0,32,34,0,0,0
2021-03-31,2,0,32,34,0,0,0
2021-04-01,2,0,32,34,0,0,0
2021-04-02,2,0,32,34,0,0,0
2021-04-03,2,0,32,34,0,0,0
2021-04-04,2,0,32,34,0,0,0
2021-04-05,1,0,33,34,0,0,0
2021-04-06,1,0,33,34,0,0,0
2021-04-07,1,0,33,34,0,0,0
2021-04-08,1,0,33,34,0,0,0
2021-04-09,1,0,33,34,0,0,0
2021-04-10,1,0,33,34,0,0,0
2021-04-11,1,0,33,34,0,0,0
2021-04-12,1,0,33,34,0,0,0
2021-04-13,1,0,33,34,0,0,0
2021-04-14,1,0,33,34,0,0,0
2021-04-15,1,0,33,34,0,0,0
2021-04-16,1,0,33,34,0,0,0
2021-04-17,1,0,33,34,0,0,0
2021-04-18,1,0,33,34,0,0,0
2021-04-19,1,0,33,34,0,0,0
2021-04-20,1,0,33,34,0,0,0
2021-04-21,1,1,32,34,1,0,0
2021-04-22,1,1,32,34,0,1,0
2021-04-23,1,1,32,34,0,0,1
2021-04-24,1,0,33,34,0,0,0
2021-04-25,1,0,33,34,0,0,0
2021-04-26,1,0,33,34,0,0,0
2021-04-27,1,0,33,34,0,0,0
2021-04-28,1,0,33,34,0,0,0
2021-04-29,1,0,33,34,0,0,0
2021-04-30,1,0,33,34,0,0,0
2021-05-01,1,0,33,34,0,0,0
2021-05-02,1,0,33,34,0,0,0
2021-05-03,1,0,33,34,0,0,0
2021-05-04,1,0,33,34,0,0,0
2021-05-05,1,0,33,34,0,0,0
2021-05-06,1,0,33,34,0,0,0
2021-05-07,1,0,33,34,0,0,0
2021-05-08,1,0,33,34,0,0,0
2021-05-09,1,0,33,34,0,0,0
2021-05-10,1,0,33,34,0,0,0
2021-05-11,1,0,33,34,0,0,0
2021-05-12,1,1,32,34,1,0,0
2021-05-13,1,1,32,34,0,1,0
2021-05-14,1,1,32,34,0,0,1
2021-05-15,1,0,33,34,0,0,0
2021-05-16,1,0,33,34,0,0,0
2021-05-17,1,0,33,34,0,0,0
2021-05-18,1,0,33,34,0,0,0
2021-05-19,1,0,33,34,0,0,0
2021-05-20,1,0,33,34,0,0,0
2021-05-21,1,0,33,34,0,0,0
2021-05-22,1,0,33,34,0,0,0
2021-05-23,1,0,33,34,0,0,0
2021-05-24,1,0,33,34,0,0,0
2021-05-25,1,0,33,34,0,0,0
2021-05-26,1,0,33,34,0,0,0
2021-05-27,1,0,33,34,0,0,0
2021-05-28,1,0,33,34,0,0,0
2021-05-29,1,0,33,34,0,0,0
2021-05-30,1,0,33,34,0,0,0
2021-05-31,1,0,33,34,0,0,0
2021-06-01,1,0,33,34,0,0,0
2021-06-02,1,0,33,34,0,0,0
2021-06-03,1,0,33,34,0,0,0
2021-06-04,1,0,33,34,0,0,0
2021-06-05,1,0,33,34,0,0,0
2021-06-06,1,0,33,34,0,0,0
2021-06-07,1,0,33,34,0,0,0
2021-06-08,1,0,33,34,0,0,0
2021-06-09,1,0,33,34,0,0,0
2021-06-10,1,0,33,34,0,0,0
2021-06-11,1,0,33,34,0,0,0
2021-06-12,1,0,33,34,0,0,0
2021-06-13,1,0,33,34,0,0,0
2021-06-14,1,0,33,34,0,0,0
2021-06-15,1,0,33,34,0,0,0
2021-06-16,1,0,33,34,0,0,0
2021-06-17,1,0,33,34,0,0,0
2021-06-18,1,0,33,34,0,0,0
2021-06-19,1,0,33,34,0,0,0
2021-06-20,1,0,33,34,0,0,0
2021-06-21,1,0,33,34,0,0,0
2021-06-22,1,0,33,34,0,0,0
2021-06-23,1,0,33,34,0,0,0
2021-06-24,1,0,33,34,0,0,0
2021-06-25,1,0,33,34,0,0,0
2021-06-26,1,0,33,34,0,0,0
2021-06-27,1,0,33,34,0,0,0
2021-06-28,1,0,33,34,0,0,0
2021-06-29,1,0,33,34,0,0,0
2021-06-30,1,0,33,34,0,0,0
2021-07-01,1,0,33,34,0,0,0
2021-07-02,1,0,33,34,0,0,0
2021-07-03,1,0,33,34,0,0,0
2021-07-04,1,0,33,34,0,0,0
2021-07-05,1,0,33,34,0,0,0
2021-07-06,1,0,33,34,0,0,0
2021-07-07,1,0,33,34,0,0,0
2021-07-08,1,0,33,34,0,0,0
2021-07-09,1,0,33,34,0,0,0
2021-07-10,1,0,33,34,0,0,0
2021-07-11,1,0,33,34,0,0,0
2021-07-12,1,0,33,34,0,0,0
2021-07-13,1,0,33,34,0,0,0
2021-07-14,1,0,33,34,0,0,0
2021-07-15,1,0,33,34,0,0,0
2021-07-16,1,0,33,34,0,0,0
2021-07-17,1,0,33,34,0,0,0
2021-07-18,1,0,33,34,0,0,0
2021-07-19,1,0,33,34,0,0,0
2021-07-20,1,0,33,34,0,0,0
2021-07-21,1,0,33,34,0,0,0
2021-07-22,1,0,33,34,0,0,0
2021-07-23,1,0,33,34,0,0,0
2021-07-24,1,0,33,34,0,0,0
2021-07-25,1,0,33,34,0,0,0
2021-07-26,1,0,33,34,0,0,0
2021-07-27,1,0,33,34,0,0,0
2021-07-28,1,0,33,34,0,0,0
2021-07-29,1,0,33,34,0,0,0
2021-07-30,1,0,33,34,0,0,0
2021-07-31,1,0,33,34,0,0,0
2021-08-01,1,0,33,34,0,0,0
2021-08-02,1,0,33,34,0,0,0
2021-08-03,1,0,33,34,0,0,0
2021-08-04,1,1,32,34,1,0,0
2021-08-05,1,1,32,34,0,1,0
2021-08-06,1,1,32,34,0,0,1
2021-08-07,1,0,33,34,0,0,0
2021-08-08,1,0,33,34,0,0,0
2021-08-09,1,0,33,34,0,0,0
2021-08-10,1,0,33,34,0,0,0
2021-08-11,1,0,33,34,0,0,0
2021-08-12,1,0,33,34,0,0,0
2021-08-13,1,0,33,34,0,0,0
2021-08-14,1,0,33,34,0,0,0
2021-08-15,1,0,33,34,0,0,0
2021-08-16,1,0,33,34,0,0,0
2021-08-17,1,0,33,34,0,0,0
2021-08-18,1,0,33,34,0,0,0
2021-08-19,1,0,33,34,0,0,0
2021-08-20,1,0,33,34,0,0,0
2021-08-21,1,0,33,34,0,0,0
2021-08-22,1,0,33,34,0,0,0
2021-08-23,1,0,33,34,0,0,0
2021-08-24,1,0,33,34,0,0,0
2021-08-25,1,0,33,34,0,0,0
2021-08-26,1,0,33,34,0,0,0
2021-08-27,1,0,33,34,0,0,0
2021-08-28,1,0,33,34,0,0,0
2021-08-29,1,0,33,34,0,0,0
2021-08-30,1,0,33,34,0,0,0
2021-08-31,1,0,33,34,0,0,0
2021-09-01,1,0,33,34,0,0,0
2021-09-02,1,0,33,34,0,0,0
2021-09-03,1,0,33,34,0,0,0
2021-09-04,1,0,33,34,0,0,0
2021-09-05,1,0,33,34,0,0,0
2021-09-06,1,1,32,34,1,0,0
2021-09-07,1,1,32,34,0,1,0
2021-09-08,1,1,32,34,0,0,1
2021-09-09,2,0,32,34,0,0,0
2021-09-10,2,0,32,34,0,0,0
2021-09-11,2,0,32,34,0,0,0
2021-09-12,2,0,32,34,0,0,0
2021-09-13,2,0,32,34,0,0,0
2021-09-14,2,0,32,34,0,0,0
2021-09-15,2,0,32,34,0,0,0
2021-09-16,2,0,32,34,0,0,0
2021-09-17,2,0,32,34,0,0,0
2021-09-18,2,0,32,34,0,0,0
2021-09-19,2,0,32,34,0,0,0
2021-09-20,2,0,32,34,0,0,0
2021-09-21,2,0,32,34,0,0,0
2021-09-22,2,0,32,34,0,0,0
2021-09-23,2,0,32,34,0,0,0
2021-09-24,2,0,32,34,0,0,0
2021-09-25,2,0,32,34,0,0,0
2021-09-26,2,0,32,34,0,0,0
2021-09-27,2,0,32,34,0,0,0
2021-09-28,2,0,32,34,0,0,0
2021-09-29,2,0,32,34,0,0,0
2021-09-30,2,0,32,34,0,0,0
2021-10-01,2,0,32,34,0,0,0
2021-10-02,2,0,32,34,0,0,0
2021-10-03,2,0,32,34,0,0,0
2021-10-04,2,0,32,34,0,0,0
2021-10-05,2,0,32,34,0,0,0
2021-10-06,2,0,32,34,0,0,0
2021-10-07,2,0,32,34,0,0,0
2021-10-08,2,0,32,34,0,0,0
2021-10-09,2,0,32,34,0,0,0
2021-10-10,2,0,32,34,0,0,0
2021-10-11,2,0,32,34,0,0,0
2021-10-12,3,0,31,34,0,0,0
2021-10-13,2,0,32,34,0,0,0
2021-10-14,2,0,32,34,0,0,0
2021-10-15,2,0,32,34,0,0,0
2021-10-16,2,0,32,34,0,0,0
2021-10-17,2,0,32,34,0,0,0
2021-10-18,2,0,32,34,0,0,0
2021-10-19,2,0,32,34,0,0,0
2021-10-20,2,0,32,34,0,0,0
2021-10-21,2,0,32,34,0,0,0
2021-10-22,2,0,32,34,0,0,0
2021-10-23,2,0,32,34,0,0,0
2021-10-24,2,0,32,34,0,0,0
2021-10-25,2,0,32,34,0,0,0
2021-10-26,2,0,32,34,0,0,0
2021-10-27,2,0,32,34,0,0,0
2021-10-28,2,0,32,34,0,0,0
2021-10-29,2,0,32,34,0,0,0
2021-10-30,2,0,32,34,0,0,0
2021-10-31,2,0,32,34,0,0,0
2021-11-01,2,0,32,34,0,0,0
2021-11-02,2,0,32,34,0,0,0
2021-11-03,2,0,32,34,0,0,0
2021-11-04,2,0,32,34,0,0,0
2021-11-05,2,0,32,34,0,0,0
2021-11-06,2,0,32,34,0,0,0
2021-11-07,2,0,32,34,0,0,0
2021-11-08,2,0,32,34,0,0,0
2021-11-09,2,0,32,34,0,0,0
2021-11-10,2,0,32,34,0,0,0
2021-11-11,2,0,32,34,0,0,0
2021-11-12,2,0,32,34,0,0,0
2021-11-13,2,0,32,34,0,0,0
2021-11-14,2,0,32,34,0,0,0
2021-11-15,2,0,32,34,0,0,0
2021-11-16,2,0,32,34,0,0,0
2021-11-17,2,0,32,34,0,0,0
2021-11-18,2,0,32,34,0,0,0
2021-11-19,2,0,32,34,0,0,0
2021-11-20,2,0,32,34,0,0,0
2021-11-21,2,0,32,34,0,0,0
2021-11-22,2,0,32,34,0,0,0
2021-11-23,2,0,32,34,0,0,0
2021-11-24,2,0,32,34,0,0,0
2021-11-25,2,0,32,34,0,0,0
2021-11-26,2,0,32,34,0,0,0
2021-11-27,2,0,32,34,0,0,0
2021-11-28,2,0,32,34,0,0,0
2021-11-29,2,0,32,34,0,0,0
2021-11-30,2,0,32,34,0,0,0
2021-12-01,2,0,32,34,0,0,0
2021-12-02,3,0,31,34,0,0,0
2021-12-03,2,0,32,34,0,0,0
2021-12-04,2,0,32,34,0,0,0
2021-12-05,2,0,32,34,0,0,0
2021-12-06,2,0,32,34,0,0,0
2021-12-07,2,0,32,34,0,0,0
2021-12-08,2,0,32,34,0,0,0
2021-12-09,2,0,32,34,0,0,0
2021-12-10,2,0,32,34,0,0,0
2021-12-11,2,0,32,34,0,0,0
2021-12-12,2,0,32,34,0,0,0
2021-12-13,2,0,32,34,0,0,0
2021-12-14,2,0,32,34,0,0,0
2021-12-15,2,0,32,34,0,0,0
2021-12-16,2,0,32,34,0,0,0
2021-12-17,2,0,32,34,0,0,0
2021-12-18,2,0,32,34,0,0,0
2021-12-19,2,0,32,34,0,0,0
2021-12-20,2,0,32,34,0,0,0
2021-12-21,2,0,32,34,0,0,0
2021-12-22,2,0,32,34,0,0,0
2021-12-23,2,0,32,34,0,0,0
2021-12-24,2,0,32,34,0,0,0
2021-12-25,2,0,32,34,0,0,0
2021-12-26,2,0,32,34,0,0,0
2021-12-27,2,0,32,34,0,0,0
2021-12-28,2,0,32,34,0,0,0
2021-12-29,2,0,32,34,0,0,0
2021-12-30,2,0,32,34,0,0,0
2021-12-31,2,0,32,34,0,0,0
2022-01-01,9,0,25,34,0,0,0
2022-01-02,10,0,24,34,0,0,0
2022-01-03,9,0,25,34,0,0,0
2022-01-04,6,0,28,34,0,0,0
2022-01-05,6,0,28,34,0,0,0
2022-01-06,6,0,28,34,0,0,0
2022-01-07,5,0,29,34,0,0,0
2022-01-08,5,0,29,34,0,0,0
2022-01-09,5,0,29,34,0,0,0
2022-01-10,5,0,29,34,0,0,0
2022-01-11,5,0,29,34,0,0,0
2022-01-12,5,0,29,34,0,0,0
2022-01-13,5,1,28,34,1,0,0
2022-01-14,5,1,28,34,0,1,0
2022-01-15,5,1,28,34,0,0,1
2022-01-16,5,0,29,34,0,0,0
2022-01-17,4,0,30,34,0,0,0
2022-01-18,6,0,28,34,0,0,0
2022-01-19,6,0,28,34,0,0,0
2022-01-20,6,0,28,34,0,0,0
2022-01-21,8,0,26,34,0,0,0
2022-01-22,9,0,25,34,0,0,0
2022-01-23,8,0,26,34,0,0,0
2022-01-24,7,1,26,34,1,0,0
2022-01-25,7,1,26,34,0,1,0
2022-01-26,7,1,26,34,0,0,1
2022-01-27,8,0,26,34,0,0,0
2022-01-28,8,0,26,34,0,0,0
2022-01-29,8,0,26,34,0,0,0
2022-01-30,8,0,26,34,0,0,0
2022-01-31,8,0,26,34,0,0,0
2022-02-01,6,0,28,34,0,0,0
2022-02-02,6,0,28,34,0,0,0
2022-02-03,6,0,28,34,0,0,0
2022-02-04,6,0,28,34,0,0,0
2022-02-05,6,0,28,34,0,0,0
2022-02-06,6,0,28,34,0,0,0
2022-02-07,6,0,28,34,0,0,0
2022-02-08,5,0,29,34,0,0,0
2022-02-09,5,0,29,34,0,0,0
2022-02-10,5,0,29,34,0,0,0
2022-02-11,5,0,29,34,0,0,0
2022-02-12,5,0,29,34,0,0,0
2022-02-13,5,1,28,34,1,0,0
2022-02-14,5,4,25,34,3,1,0
2022-02-15,5,4,25,34,0,3,1
2022-02-16,6,3,25,34,0,0,3
2022-02-17,8,0,26,34,0,0,0
2022-02-18,8,0,26,34,0,0,0
2022-02-19,8,0,26,34,0,0,0
2022-02-20,8,0,26,34,0,0,0
2022-02-21,8,0,26,34,0,0,0
2022-02-22,9,0,25,34,0,0,0
2022-02-23,10,0,24,34,0,0,0
2022-02-24,9,0,25,34,0,0,0
2022-02-25,9,0,25,34,0,0,0
2022-02-26,9,0,25,34,0,0,0
2022-02-27,9,1,24,34,1,0,0
2022-02-28,9,1,24,34,0,1,0
2022-03-01,11,1,22,34,0,0,1
2022-03-02,12,0,22,34,0,0,0
2022-03-03,12,0,22,34,0,0,0
2022-03-04,13,0,21,34,0,0,0
2022-03-05,13,0,21,34,0,0,0
2022-03-06,13,0,21,34,0,0,0
2022-03-07,15,0,19,34,0,0,0
2022-03-08,15,0,19,34,0,0,0
2022-03-09,14,0,20,34,0,0,0
2022-03-10,13,0,21,34,0,0,0
2022-03-11,13,0,21,34,0,0,0
2022-03-12,13,0,21,34,0,0,0
2022-03-13,14,0,20,34,0,0,0
2022-03-14,13,0,21,34,0,0,0
2022-03-15,13,0,21,34,0,0,0
2022-03-16,10,0,24,34,0,0,0
2022-03-17,9,0,25,34,0,0,0
2022-03-18,9,0,25,34,0,0,0
2022-03-19,9,0,25,34,0,0,0
2022-03-20,9,0,25,34,0,0,0
2022-03-21,9,1,24,34,1,0,0
2022-03-22,9,1,24,34,0,1,0
2022-03-23,9,1,24,34,0,0,1
2022-03-24,10,0,24,34,0,0,0
2022-03-25,10,0,24,34,0,0,0
2022-03-26,10,0,24,34,0,0,0
2022-03-27,10,0,24,34,0,0,0
2022-03-28,9,0,25,34,0,0,0
2022-03-29,8,0,26,34,0,0,0
2022-03-30,8,0,26,34,0,0,0
2022-03-31,8,0,26,34,0,0,0
2022-04-01,7,0,27,34,0,0,0
2022-04-02,7,0,27,34,0,0,0
2022-04-03,7,0,27,34,0,0,0
2022-04-04,7,0,27,34,0,0,0
2022-04-05,7,0,27,34,0,0,0
2022-04-06,7,0,27,34,0,0,0
2022-04-07,7,0,27,34,0,0,0
2022-04-08,7,0,27,34,0,0,0
2022-04-09,7,0,27,34,0,0,0
2022-04-10,7,0,27,34,0,0,0
2022-04-11,7,0,27,34,0,0,0
2022-04-12,7,0,27,34,0,0,0
2022-04-13,7,0,27,34,0,0,0
2022-04-14,7,0,27,34,0,0,0
2022-04-15,7,0,27,34,0,0,0
2022-04-16,7,0,27,34,0,0,0
2022-04-17,7,0,27,34,0,0,0
2022-04-18,7,0,27,34,0,0,0
2022-04-19,7,0,27,34,0,0,0
2022-04-20,7,1,26,34,1,0,0
2022-04-21,7,1,26,34,0,1,0
2022-04-22,7,1,26,34,0,0,1
2022-04-23,7,0,27,34,0,0,0
2022-04-24,7,2,25,34,2,0,0
2022-04-25,7,4,23,34,2,2,0
2022-04-26,7,7,20,34,3,2,2
2022-04-27,8,6,20,34,1,3,2
2022-04-28,7,4,23,34,0,1,3
2022-04-29,9,1,24,34,0,0,1
2022-04-30,11,0,23,34,0,0,0
2022-05-01,9,0,25,34,0,0,0
2022-05-02,9,0,25,34,0,0,0
2022-05-03,8,0,26,34,0,0,0
2022-05-04,8,0,26,34,0,0,0
2022-05-05,8,0,26,34,0,0,0
2022-05-06,8,0,26,34,0,0,0
2022-05-07,9,0,25,34,0,0,0
2022-05-08,9,0,25,34,0,0,0
2022-05-09,11,1,22,34,1,0,0
2022-05-10,10,1,23,34,0,1,0
2022-05-11,13,1,20,34,0,0,1
2022-05-12,14,1,19,34,1,0,0
2022-05-13,13,1,20,34,0,1,0
2022-05-14,13,1,20,34,0,0,1
2022-05-15,14,1,19,34,1,0,0
2022-05-16,14,1,19,34,0,1,0
2022-05-17,15,1,18,34,0,0,1
2022-05-18,17,0,17,34,0,0,0
2022-05-19,17,2,15,34,2,0,0
2022-05-20,17,2,15,34,0,2,0
2022-05-21,17,2,15,34,0,0,2
2022-05-22,19,0,15,34,0,0,0
2022-05-23,19,0,15,34,0,0,0
2022-05-24,19,0,15,34,0,0,0
2022-05-25,19,0,15,34,0,0,0
2022-05-26,18,0,16,34,0,0,0
2022-05-27,17,0,17,34,0,0,0
2022-05-28,17,0,17,34,0,0,0
2022-05-29,17,0,17,34,0,0,0
2022-05-30,17,0,17,34,0,0,0
2022-05-31,17,0,17,34,0,0,0
2022-06-01,17,0,17,34,0,0,0
2022-06-02,17,0,17,34,0,0,0
2022-06-03,17,0,17,34,0,0,0
2022-06-04,17,0,17,34,0,0,0
2022-06-05,17,0,17,34,0,0,0
2022-06-06,17,0,17,34,0,0,0
2022-06-07,17,0,17,34,0,0,0
2022-06-08,17,0,17,34,0,0,0
2022-06-09,17,0,17,34,0,0,0
2022-06-10,17,0,17,34,0,0,0
2022-06-11,17,2,15,34,2,0,0
2022-06-12,17,2,15,34,0,2,0
2022-06-13,17,2,15,34,0,0,2
2022-06-14,19,1,14,34,1,0,0
2022-06-15,19,1,14,34,0,1,0
2022-06-16,20,1,13,34,0,0,1
2022-06-17,21,0,13,34,0,0,0
2022-06-18,21,0,13,34,0,0,0
2022-06-19,21,0,13,34,0,0,0
2022-06-20,21,1,12,34,1,0,0
2022-06-21,20,1,13,34,0,1,0
2022-06-22,20,1,13,34,0,0,1
2022-06-23,21,1,12,34,1,0,0
2022-06-24,21,1,12,34,0,1,0
2022-06-25,21,1,12,34,0,0,1
2022-06-26,22,0,12,34,0,0,0
2022-06-27,22,0,12,34,0,0,0
2022-06-28,22,0,12,34,0,0,0
2022-06-29,22,0,12,34,0,0,0
2022-06-30,22,0,12,34,0,0,0
2022-07-01,22,0,12,34,0,0,0
2022-07-02,22,0,12,34,0,0,0
2022-07-03,22,1,11,34,1,0,0
2022-07-04,22,1,11,34,0,1,0
2022-07-05,22,1,11,34,0,0,1
2022-07-06,23,1,10,34,1,0,0
2022-07-07,23,1,10,34,0,1,0
2022-07-08,23,1,10,34,0,0,1
2022-07-09,24,0,10,34,0,0,0
